#-------------------------------------------------------------------
# A2744 Spectroscopic Redshift Compilation.
# Benotto P. - Last compiled 2026-05-26
# Please always refer to the latest version of this catalogue: 
# https://pietrobenotto.github.io/research/A2744_redshift_compilation.txt
#
# This catalog compiles spectroscopic redshifts for the A2744 field.
# Redshifts within a 20' radius centered on the cluster are kept.
# The redshifts come from the following surveys:
#
#   - ASTRODEEP-JWST          (Merlin et al. 2024)
#   - UNCOVER                 (Prince et al. 2024)
#   - All the Little Things   (ALT, Naidu et al. 2024)
#   - NIRISS                  (Watson et al. 2025)
#   - DJA redshift compilation (Brammer & Valentino 2025,
#                               https://zenodo.org/records/15472354)
#                               v4.4, grade == 3 only
#   - MUSE surveys compilation:
#       Owers et al. 2011, Braglia et al. 2009, GLASS,
#       Richard et al. 2021, Bergamini et al. 2022,
#       Caminha MUSE DDT 2022, MUSE 2025 (PI: Matthee)
#-------------------------------------------------------------------
# ( 1)  RA           [Right Ascension J2000 (deg)]
#                       Right ascension from the same catalogue as the redshift.
# ( 2)  DEC          [Declination J2000 (deg)]
#                       Declination from the same catalogue as the redshift.
# ( 3)  ID           [Source identifier]
#                       Source identifier. A plain number is the ASTRODEEP ID of the
#                       nearest match within 1 arcsec. If no match exists, the original
#                       catalogue number is kept with a 3-letter prefix indicating its
#                       source. If multiple objects with different redshifts map to the
#                       same ID, a letter suffix is appended (_a, _b, ...).
# ( 4)  zspec        [Spectroscopic redshift]
#                       Spectroscopic redshift. If multiple sources lie within 1 arcsec
#                       and agree within 5% in redshift, only one entry is retained.
# ( 5)  source       [Origin of the redshift value]
# ( 6)  F090W_mag    [JWST/NIRCam F090W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 7)  F200W_mag    [JWST/NIRCam F200W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 8)  F444W_mag    [JWST/NIRCam F444W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
#-------------------------------------------------------------------
        RA          DEC            ID    zspec                               source  F090W_mag  F200W_mag  F444W_mag 
 3.6080320  -30.4008160         10996   0.9400                        Niriss_Watson    -99.000     26.002     26.338 
 3.5957400  -30.3999480         11027   0.3160                            ASTRODEEP    -99.000     22.389     23.444 
 3.6219732  -30.4001715         11033   2.4052                                  ALT    -99.000     24.434     23.723 
 3.5947500  -30.3971456         11034   0.9441                                  ALT    -99.000     19.881     19.817 
 3.6125120  -30.4005938         11049   6.5846                                  ALT    -99.000     26.879     25.769 
 3.5694855  -30.3999553         11055   0.3049                Bergamini22_MUSE_8330     24.246     23.763     24.781 
 3.6102420  -30.3980480       11062_a   1.4008                        Niriss_Watson    -99.000     22.951     24.028 
 3.6102760  -30.3977830       11062_b   3.3619                        Niriss_Watson    -99.000     22.951     24.028 
 3.5426126  -30.3999200         11073   3.9626                                  ALT     25.209     24.543     24.413 
 3.6033270  -30.3996250         11095   0.6340                            ASTRODEEP    -99.000     23.674     24.251 
 3.5558420  -30.3999190         11096   1.9250                            ASTRODEEP     25.455     24.724     24.814 
 3.5490748  -30.3991654         11102   0.6879                                  ALT     23.904     23.727     24.262 
 3.5973010  -30.4005860         11104   3.6920                            ASTRODEEP    -99.000     27.496     27.705 
 3.6151740  -30.3980010         11109   0.4755                        Niriss_Watson    -99.000     22.475     23.209 
 3.6008280  -30.3948780       11111_a   0.3060                            ASTRODEEP    -99.000     19.977     20.919 
 3.6004183  -30.3951110       11111_b   5.7255                         Richard_2021    -99.000     19.977     20.919 
 3.5805272  -30.4003969         11126   4.9592                                  ALT     28.351     29.031     28.943 
 3.5816050  -30.3990820       11134_a   0.3050                            ASTRODEEP     22.640     22.032     23.074 
 3.5813303  -30.3988761       11134_b   0.2927                  Bergamini22_MUSE_-3     22.640     22.032     23.074 
 3.5812027  -30.3987341       11134_c   3.4086               Bergamini22_MUSE_64.1a     22.640     22.032     23.074 
 3.5810980  -30.4001950         11141   2.6660                            ASTRODEEP     27.202     26.839     27.223 
 3.5713808  -30.4001255         11142   4.6892                         Richard_2021     28.252     27.480     27.560 
 3.5774694  -30.3995327         11143   4.0171                                  ALT     25.350     25.101     25.069 
